Movie Title, On Screen Kills,
Smokin_Aces,47,
Snakes_on_a_Plane,60,
Snatch,26,
Spartan,15,
Speed,7,
Stardust,22,
Star_Wars_I,34,
Star_Wars_II,55,
Star_Wars_III,115,
Star_Wars_New_Hope,75,
Star_Wars_Empire,30,
Star_Wars_VI_Jedi,69,
Starship_Troopers,256,
Stone_Cold,45,
Strange_Days,12,
Strange_Wilderness,15,
Summer_of_Sam,10,
Sunshine,1,
Super_Mario_Bros,8,
Superman_Returns,10,
Sweeney_Todd,12,
Swordfish,41,
Syriana,11,
Taken,35,
Tango_&_Cash,20,
Taxi_Driver,4,
Team_America,78,
Terminator2,2,
Terminator3,14,
There_Will_Be_Blood,4,
The_Thing,21,
Things_to_Do_in_Denver,15,
Third_Man,4,
Timeline,65,
Titanic,307,
To_Die_For,2,
Tombstone,55,
Total_Recall,77,
Transformers_the_Movie,47,
Transporter,8,
Transporter2,11,
Troy,572,
True_Lies,71,
True_Romance,21,
Unbreakable,4,
Under_Siege,65,
Under_Siege2,47,
Underworld,58,
Underworld_Evolution,75,
Universal_Soldier,47,
Usual_Suspects,39,
Waist_Deep,6,
Walk_Hard,5,
Walking_Tall_%282004%29,6,
War,97,
War_Inc,73,
Wasabi,22,
Way_of_the_Gun,18,
We_Were_Soldiers,305,
Where_Eagles_Dare,100,
Wild_Bunch,145,
xxx,75,
Yakuza,31,
You_Kill_Me,10,
Zodiac,3,
Zoolander,4,
Zulu,140,
