Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
JPMA,J P Morgan Chase & Co,25.35,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpma
JPMB,J P Morgan Chase & Co,27.75,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpmb
JPMD,J P Morgan Chase & Co,25.4,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpmd
JPME,J P Morgan Chase & Co,26.58,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpme
JPMF,J P Morgan Chase & Co,26.32,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpmf
JPMG,J P Morgan Chase & Co,26.03,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpmg
JPMH,J P Morgan Chase & Co,26.11,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpmh
JAX,"J. Alexander&#39;s Holdings, Inc.",9.79,146852300.7,n/a,2015,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jax
JCP,"J.C. Penney Company, Inc. Holding Company",7.17,2194048752,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/jcp
JGW,J.G. Wentworth Company (The),1.4,34959055.6,n/a,2013,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/jgw
SJM,J.M. Smucker Company (The),120.04,14365775956,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/sjm
JBL,"Jabil Circuit, Inc.",19.84,3755181101,n/a,1993,Technology,Electrical Products,http://www.nasdaq.com/symbol/jbl
JEC,Jacobs Engineering Group Inc.,38.75,4749120756,n/a,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/jec
JHX,James Hardie Industries plc.,11.01,980328990.7,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/jhx
JNS,"Janus Capital Group, Inc",12.71,2348110030,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/jns
JOF,Japan Smaller Capitalization Fund Inc,10.015,283763938.4,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/jof
JAH,Jarden Corporation,52.73,11619266420,n/a,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/jah
JMI           ,Javelin Mortgage Investment Corp.,6.63,79059057.09,n/a,2012,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/jmi           
JCAP,"Jernigan Capital, Inc.",14.25,87815625,n/a,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/jcap
JKS,JinkoSolar Holding Company Limited,22.2,692502515.4,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/jks
JMP,JMP Group LLC,5.38,114275611.6,n/a,2007,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmp
JMPB,JMP Group LLC,24.6801,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpb
JMPC,JMP Group LLC,24.5,0,n/a,2014,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpc
JBT,John Bean Technologies Corporation,45.2,1317076562,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/jbt
BTO,John Hancock Financial Opportunities Fund,25.04,463953915.4,n/a,1994,n/a,n/a,http://www.nasdaq.com/symbol/bto
HEQ,John Hancock Hedged Equity & Income Fund,14,192253250,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/heq
